Year,Month,WeekNumber,CalendarDate,WeekStartDate,WeekEndDate
2018,August,32,10/08/2018,6/08/2018,12/08/2018
2018,August,32,11/08/2018,6/08/2018,12/08/2018
2018,August,32,12/08/2018,6/08/2018,12/08/2018
2018,August,33,13/08/2018,13/08/2018,19/08/2018
2018,August,33,14/08/2018,13/08/2018,19/08/2018
2018,August,33,15/08/2018,13/08/2018,19/08/2018
2018,August,33,16/08/2018,13/08/2018,19/08/2018
2018,August,33,17/08/2018,13/08/2018,19/08/2018
2018,August,33,18/08/2018,13/08/2018,19/08/2018
2018,August,33,19/08/2018,13/08/2018,19/08/2018
2018,August,34,20/08/2018,20/08/2018,26/08/2018
2018,August,34,21/08/2018,20/08/2018,26/08/2018
2018,August,34,22/08/2018,20/08/2018,26/08/2018
2018,August,34,23/08/2018,20/08/2018,26/08/2018
2018,August,34,24/08/2018,20/08/2018,26/08/2018
2018,August,34,25/08/2018,20/08/2018,26/08/2018
2018,August,34,26/08/2018,20/08/2018,26/08/2018
2018,August,35,27/08/2018,27/08/2018,2/09/2018
2018,August,35,28/08/2018,27/08/2018,2/09/2018
2018,August,35,29/08/2018,27/08/2018,2/09/2018
2018,August,35,30/08/2018,27/08/2018,2/09/2018
2018,August,35,31/08/2018,27/08/2018,2/09/2018
2018,August,35,1/09/2018,27/08/2018,2/09/2018
2018,August,35,2/09/2018,27/08/2018,2/09/2018
2018,September,36,3/09/2018,3/09/2018,9/09/2018
2018,September,36,4/09/2018,3/09/2018,9/09/2018
2018,September,36,5/09/2018,3/09/2018,9/09/2018
2018,September,36,6/09/2018,3/09/2018,9/09/2018
2018,September,36,7/09/2018,3/09/2018,9/09/2018
2018,September,36,8/09/2018,3/09/2018,9/09/2018
2018,September,36,9/09/2018,3/09/2018,9/09/2018
2018,September,37,10/09/2018,10/09/2018,16/09/2018
2018,September,37,11/09/2018,10/09/2018,16/09/2018
2018,September,37,12/09/2018,10/09/2018,16/09/2018
2018,September,37,13/09/2018,10/09/2018,16/09/2018
2018,September,37,14/09/2018,10/09/2018,16/09/2018
2018,September,37,15/09/2018,10/09/2018,16/09/2018
2018,September,37,16/09/2018,10/09/2018,16/09/2018
2018,September,38,17/09/2018,17/09/2018,23/09/2018
2018,September,38,18/09/2018,17/09/2018,23/09/2018
2018,September,38,19/09/2018,17/09/2018,23/09/2018
2018,September,38,20/09/2018,17/09/2018,23/09/2018
2018,September,38,21/09/2018,17/09/2018,23/09/2018
2018,September,38,22/09/2018,17/09/2018,23/09/2018
2018,September,38,23/09/2018,17/09/2018,23/09/2018
2018,September,39,24/09/2018,24/09/2018,30/09/2018
2018,September,39,25/09/2018,24/09/2018,30/09/2018
2018,September,39,26/09/2018,24/09/2018,30/09/2018
2018,September,39,27/09/2018,24/09/2018,30/09/2018
2018,September,39,28/09/2018,24/09/2018,30/09/2018
2018,September,39,29/09/2018,24/09/2018,30/09/2018
2018,September,39,30/09/2018,24/09/2018,30/09/2018
2018,October,40,1/10/2018,1/10/2018,7/10/2018
2018,October,40,2/10/2018,1/10/2018,7/10/2018
2018,October,40,3/10/2018,1/10/2018,7/10/2018
2018,October,40,4/10/2018,1/10/2018,7/10/2018
2018,October,40,5/10/2018,1/10/2018,7/10/2018
2018,October,40,6/10/2018,1/10/2018,7/10/2018
2018,October,40,7/10/2018,1/10/2018,7/10/2018
2018,October,41,8/10/2018,8/10/2018,14/10/2018
2018,October,41,9/10/2018,8/10/2018,14/10/2018
2018,October,41,10/10/2018,8/10/2018,14/10/2018
2018,October,41,11/10/2018,8/10/2018,14/10/2018
2018,October,41,12/10/2018,8/10/2018,14/10/2018
2018,October,41,13/10/2018,8/10/2018,14/10/2018
2018,October,41,14/10/2018,8/10/2018,14/10/2018
2018,October,42,15/10/2018,15/10/2018,21/10/2018
2018,October,42,16/10/2018,15/10/2018,21/10/2018
2018,October,42,17/10/2018,15/10/2018,21/10/2018
2018,October,42,18/10/2018,15/10/2018,21/10/2018
2018,October,42,19/10/2018,15/10/2018,21/10/2018
2018,October,42,20/10/2018,15/10/2018,21/10/2018
2018,October,42,21/10/2018,15/10/2018,21/10/2018
2018,October,43,22/10/2018,22/10/2018,28/10/2018
2018,October,43,23/10/2018,22/10/2018,28/10/2018
2018,October,43,24/10/2018,22/10/2018,28/10/2018
2018,October,43,25/10/2018,22/10/2018,28/10/2018
2018,October,43,26/10/2018,22/10/2018,28/10/2018
2018,October,43,27/10/2018,22/10/2018,28/10/2018
2018,October,43,28/10/2018,22/10/2018,28/10/2018
2018,November,44,29/10/2018,29/10/2018,4/11/2018
2018,November,44,30/10/2018,29/10/2018,4/11/2018
2018,November,44,31/10/2018,29/10/2018,4/11/2018
2018,November,44,1/11/2018,29/10/2018,4/11/2018
2018,November,44,2/11/2018,29/10/2018,4/11/2018
2018,November,44,3/11/2018,29/10/2018,4/11/2018
2018,November,44,4/11/2018,29/10/2018,4/11/2018
2018,November,45,5/11/2018,5/11/2018,11/11/2018
2018,November,45,6/11/2018,5/11/2018,11/11/2018
2018,November,45,7/11/2018,5/11/2018,11/11/2018
2018,November,45,8/11/2018,5/11/2018,11/11/2018
2018,November,45,9/11/2018,5/11/2018,11/11/2018
2018,November,45,10/11/2018,5/11/2018,11/11/2018
2018,November,45,11/11/2018,5/11/2018,11/11/2018
2018,November,46,12/11/2018,12/11/2018,18/11/2018
2018,November,46,13/11/2018,12/11/2018,18/11/2018
2018,November,46,14/11/2018,12/11/2018,18/11/2018
2018,November,46,15/11/2018,12/11/2018,18/11/2018
2018,November,46,16/11/2018,12/11/2018,18/11/2018
2018,November,46,17/11/2018,12/11/2018,18/11/2018
2018,November,46,18/11/2018,12/11/2018,18/11/2018
2018,November,47,19/11/2018,19/11/2018,25/11/2018
2018,November,47,20/11/2018,19/11/2018,25/11/2018
2018,November,47,21/11/2018,19/11/2018,25/11/2018
2018,November,47,22/11/2018,19/11/2018,25/11/2018
2018,November,47,23/11/2018,19/11/2018,25/11/2018
2018,November,47,24/11/2018,19/11/2018,25/11/2018
2018,November,47,25/11/2018,19/11/2018,25/11/2018
2018,December,48,26/11/2018,26/11/2018,2/12/2018
2018,December,48,27/11/2018,26/11/2018,2/12/2018
2018,December,48,28/11/2018,26/11/2018,2/12/2018
2018,December,48,29/11/2018,26/11/2018,2/12/2018
2018,December,48,30/11/2018,26/11/2018,2/12/2018
2018,December,48,1/12/2018,26/11/2018,2/12/2018
2018,December,48,2/12/2018,26/11/2018,2/12/2018
2018,December,49,3/12/2018,3/12/2018,9/12/2018
2018,December,49,4/12/2018,3/12/2018,9/12/2018
2018,December,49,5/12/2018,3/12/2018,9/12/2018
2018,December,49,6/12/2018,3/12/2018,9/12/2018
2018,December,49,7/12/2018,3/12/2018,9/12/2018
2018,December,49,8/12/2018,3/12/2018,9/12/2018
2018,December,49,9/12/2018,3/12/2018,9/12/2018
2018,December,50,10/12/2018,10/12/2018,16/12/2018
2018,December,50,11/12/2018,10/12/2018,16/12/2018
2018,December,50,12/12/2018,10/12/2018,16/12/2018
2018,December,50,13/12/2018,10/12/2018,16/12/2018
2018,December,50,14/12/2018,10/12/2018,16/12/2018
2018,December,50,15/12/2018,10/12/2018,16/12/2018
2018,December,50,16/12/2018,10/12/2018,16/12/2018
2018,December,51,17/12/2018,17/12/2018,23/12/2018
2018,December,51,18/12/2018,17/12/2018,23/12/2018
2018,December,51,19/12/2018,17/12/2018,23/12/2018
2018,December,51,20/12/2018,17/12/2018,23/12/2018
2018,December,51,21/12/2018,17/12/2018,23/12/2018
2018,December,51,22/12/2018,17/12/2018,23/12/2018
2018,December,51,23/12/2018,17/12/2018,23/12/2018
2018,December,52,24/12/2018,24/12/2018,30/12/2018
2018,December,52,25/12/2018,24/12/2018,30/12/2018
2018,December,52,26/12/2018,24/12/2018,30/12/2018
2018,December,52,27/12/2018,24/12/2018,30/12/2018
2018,December,52,28/12/2018,24/12/2018,30/12/2018
2018,December,52,29/12/2018,24/12/2018,30/12/2018
2018,December,52,30/12/2018,24/12/2018,30/12/2018
2019,January,1,31/12/2018,31/12/2018,6/01/2019
2019,January,1,1/01/2019,31/12/2018,6/01/2019
2019,January,1,2/01/2019,31/12/2018,6/01/2019
2019,January,1,3/01/2019,31/12/2018,6/01/2019
2019,January,1,4/01/2019,31/12/2018,6/01/2019
2019,January,1,5/01/2019,31/12/2018,6/01/2019
2019,January,1,6/01/2019,31/12/2018,6/01/2019
2019,January,2,7/01/2019,7/01/2019,13/01/2019
2019,January,2,8/01/2019,7/01/2019,13/01/2019
2019,January,2,9/01/2019,7/01/2019,13/01/2019
2019,January,2,10/01/2019,7/01/2019,13/01/2019
2019,January,2,11/01/2019,7/01/2019,13/01/2019
2019,January,2,12/01/2019,7/01/2019,13/01/2019
2019,January,2,13/01/2019,7/01/2019,13/01/2019
2019,January,3,14/01/2019,14/01/2019,20/01/2019
2019,January,3,15/01/2019,14/01/2019,20/01/2019
2019,January,3,16/01/2019,14/01/2019,20/01/2019
2019,January,3,17/01/2019,14/01/2019,20/01/2019
2019,January,3,18/01/2019,14/01/2019,20/01/2019
2019,January,3,19/01/2019,14/01/2019,20/01/2019
2019,January,3,20/01/2019,14/01/2019,20/01/2019
2019,January,4,21/01/2019,21/01/2019,27/01/2019
2019,January,4,22/01/2019,21/01/2019,27/01/2019
2019,January,4,23/01/2019,21/01/2019,27/01/2019
2019,January,4,24/01/2019,21/01/2019,27/01/2019
2019,January,4,25/01/2019,21/01/2019,27/01/2019
2019,January,4,26/01/2019,21/01/2019,27/01/2019
2019,January,4,27/01/2019,21/01/2019,27/01/2019
2019,February,5,28/01/2019,28/01/2019,3/02/2019
2019,February,5,29/01/2019,28/01/2019,3/02/2019
2019,February,5,30/01/2019,28/01/2019,3/02/2019
2019,February,5,31/01/2019,28/01/2019,3/02/2019
2019,February,5,1/02/2019,28/01/2019,3/02/2019
2019,February,5,2/02/2019,28/01/2019,3/02/2019
2019,February,5,3/02/2019,28/01/2019,3/02/2019
2019,February,6,4/02/2019,4/02/2019,10/02/2019
2019,February,6,5/02/2019,4/02/2019,10/02/2019
2019,February,6,6/02/2019,4/02/2019,10/02/2019
2019,February,6,7/02/2019,4/02/2019,10/02/2019
2019,February,6,8/02/2019,4/02/2019,10/02/2019
2019,February,6,9/02/2019,4/02/2019,10/02/2019
2019,February,6,10/02/2019,4/02/2019,10/02/2019
2019,February,7,11/02/2019,11/02/2019,17/02/2019
2019,February,7,12/02/2019,11/02/2019,17/02/2019
2019,February,7,13/02/2019,11/02/2019,17/02/2019
2019,February,7,14/02/2019,11/02/2019,17/02/2019
2019,February,7,15/02/2019,11/02/2019,17/02/2019
2019,February,7,16/02/2019,11/02/2019,17/02/2019
2019,February,7,17/02/2019,11/02/2019,17/02/2019
2019,February,8,18/02/2019,18/02/2019,24/02/2019
2019,February,8,19/02/2019,18/02/2019,24/02/2019
2019,February,8,20/02/2019,18/02/2019,24/02/2019
2019,February,8,21/02/2019,18/02/2019,24/02/2019
2019,February,8,22/02/2019,18/02/2019,24/02/2019
2019,February,8,23/02/2019,18/02/2019,24/02/2019
2019,February,8,24/02/2019,18/02/2019,24/02/2019
2019,February,9,25/02/2019,25/02/2019,3/03/2019
2019,February,9,26/02/2019,25/02/2019,3/03/2019
2019,February,9,27/02/2019,25/02/2019,3/03/2019
2019,February,9,28/02/2019,25/02/2019,3/03/2019
2019,February,9,1/03/2019,25/02/2019,3/03/2019
2019,February,9,2/03/2019,25/02/2019,3/03/2019
2019,February,9,3/03/2019,25/02/2019,3/03/2019
2019,March,10,4/03/2019,4/03/2019,10/03/2019
2019,March,10,5/03/2019,4/03/2019,10/03/2019
2019,March,10,6/03/2019,4/03/2019,10/03/2019
2019,March,10,7/03/2019,4/03/2019,10/03/2019
2019,March,10,8/03/2019,4/03/2019,10/03/2019
2019,March,10,9/03/2019,4/03/2019,10/03/2019
2019,March,10,10/03/2019,4/03/2019,10/03/2019
2019,March,11,11/03/2019,11/03/2019,17/03/2019
2019,March,11,12/03/2019,11/03/2019,17/03/2019
2019,March,11,13/03/2019,11/03/2019,17/03/2019
2019,March,11,14/03/2019,11/03/2019,17/03/2019
2019,March,11,15/03/2019,11/03/2019,17/03/2019
2019,March,11,16/03/2019,11/03/2019,17/03/2019
2019,March,11,17/03/2019,11/03/2019,17/03/2019
2019,March,12,18/03/2019,18/03/2019,24/03/2019
2019,March,12,19/03/2019,18/03/2019,24/03/2019
2019,March,12,20/03/2019,18/03/2019,24/03/2019
2019,March,12,21/03/2019,18/03/2019,24/03/2019
2019,March,12,22/03/2019,18/03/2019,24/03/2019
2019,March,12,23/03/2019,18/03/2019,24/03/2019
2019,March,12,24/03/2019,18/03/2019,24/03/2019
2019,March,13,25/03/2019,25/03/2019,31/03/2019
2019,March,13,26/03/2019,25/03/2019,31/03/2019
2019,March,13,27/03/2019,25/03/2019,31/03/2019
2019,March,13,28/03/2019,25/03/2019,31/03/2019
2019,March,13,29/03/2019,25/03/2019,31/03/2019
2019,March,13,30/03/2019,25/03/2019,31/03/2019
2019,March,13,31/03/2019,25/03/2019,31/03/2019
2019,April,14,1/04/2019,1/04/2019,7/04/2019
2019,April,14,2/04/2019,1/04/2019,7/04/2019
2019,April,14,3/04/2019,1/04/2019,7/04/2019
2019,April,14,4/04/2019,1/04/2019,7/04/2019
2019,April,14,5/04/2019,1/04/2019,7/04/2019
2019,April,14,6/04/2019,1/04/2019,7/04/2019
2019,April,14,7/04/2019,1/04/2019,7/04/2019
2019,April,15,8/04/2019,8/04/2019,14/04/2019
2019,April,15,9/04/2019,8/04/2019,14/04/2019
2019,April,15,10/04/2019,8/04/2019,14/04/2019
2019,April,15,11/04/2019,8/04/2019,14/04/2019
2019,April,15,12/04/2019,8/04/2019,14/04/2019
2019,April,15,13/04/2019,8/04/2019,14/04/2019
2019,April,15,14/04/2019,8/04/2019,14/04/2019
2019,April,16,15/04/2019,15/04/2019,21/04/2019
2019,April,16,16/04/2019,15/04/2019,21/04/2019
2019,April,16,17/04/2019,15/04/2019,21/04/2019
2019,April,16,18/04/2019,15/04/2019,21/04/2019
2019,April,16,19/04/2019,15/04/2019,21/04/2019
2019,April,16,20/04/2019,15/04/2019,21/04/2019
2019,April,16,21/04/2019,15/04/2019,21/04/2019
2019,April,17,22/04/2019,22/04/2019,28/04/2019
2019,April,17,23/04/2019,22/04/2019,28/04/2019
2019,April,17,24/04/2019,22/04/2019,28/04/2019
2019,April,17,25/04/2019,22/04/2019,28/04/2019
2019,April,17,26/04/2019,22/04/2019,28/04/2019
2019,April,17,27/04/2019,22/04/2019,28/04/2019
2019,April,17,28/04/2019,22/04/2019,28/04/2019
2019,May,18,29/04/2019,29/04/2019,5/05/2019
2019,May,18,30/04/2019,29/04/2019,5/05/2019
2019,May,18,1/05/2019,29/04/2019,5/05/2019
2019,May,18,2/05/2019,29/04/2019,5/05/2019
2019,May,18,3/05/2019,29/04/2019,5/05/2019
2019,May,18,4/05/2019,29/04/2019,5/05/2019
2019,May,18,5/05/2019,29/04/2019,5/05/2019
2019,May,19,6/05/2019,6/05/2019,12/05/2019
2019,May,19,7/05/2019,6/05/2019,12/05/2019
2019,May,19,8/05/2019,6/05/2019,12/05/2019
2019,May,19,9/05/2019,6/05/2019,12/05/2019
2019,May,19,10/05/2019,6/05/2019,12/05/2019
2019,May,19,11/05/2019,6/05/2019,12/05/2019
2019,May,19,12/05/2019,6/05/2019,12/05/2019
2019,May,20,13/05/2019,13/05/2019,19/05/2019
2019,May,20,14/05/2019,13/05/2019,19/05/2019
2019,May,20,15/05/2019,13/05/2019,19/05/2019
2019,May,20,16/05/2019,13/05/2019,19/05/2019
2019,May,20,17/05/2019,13/05/2019,19/05/2019
2019,May,20,18/05/2019,13/05/2019,19/05/2019
2019,May,20,19/05/2019,13/05/2019,19/05/2019
2019,May,21,20/05/2019,20/05/2019,26/05/2019
2019,May,21,21/05/2019,20/05/2019,26/05/2019
2019,May,21,22/05/2019,20/05/2019,26/05/2019
2019,May,21,23/05/2019,20/05/2019,26/05/2019
2019,May,21,24/05/2019,20/05/2019,26/05/2019
2019,May,21,25/05/2019,20/05/2019,26/05/2019
2019,May,21,26/05/2019,20/05/2019,26/05/2019
2019,June,22,27/05/2019,27/05/2019,2/06/2019
2019,June,22,28/05/2019,27/05/2019,2/06/2019
2019,June,22,29/05/2019,27/05/2019,2/06/2019
2019,June,22,30/05/2019,27/05/2019,2/06/2019
2019,June,22,31/05/2019,27/05/2019,2/06/2019
2019,June,22,1/06/2019,27/05/2019,2/06/2019
2019,June,22,2/06/2019,27/05/2019,2/06/2019
2019,June,23,3/06/2019,3/06/2019,9/06/2019
2019,June,23,4/06/2019,3/06/2019,9/06/2019
2019,June,23,5/06/2019,3/06/2019,9/06/2019
2019,June,23,6/06/2019,3/06/2019,9/06/2019
2019,June,23,7/06/2019,3/06/2019,9/06/2019
2019,June,23,8/06/2019,3/06/2019,9/06/2019
2019,June,23,9/06/2019,3/06/2019,9/06/2019
2019,June,24,10/06/2019,10/06/2019,16/06/2019
2019,June,24,11/06/2019,10/06/2019,16/06/2019
2019,June,24,12/06/2019,10/06/2019,16/06/2019
2019,June,24,13/06/2019,10/06/2019,16/06/2019
2019,June,24,14/06/2019,10/06/2019,16/06/2019
2019,June,24,15/06/2019,10/06/2019,16/06/2019
2019,June,24,16/06/2019,10/06/2019,16/06/2019
2019,June,25,17/06/2019,17/06/2019,23/06/2019
2019,June,25,18/06/2019,17/06/2019,23/06/2019
2019,June,25,19/06/2019,17/06/2019,23/06/2019
2019,June,25,20/06/2019,17/06/2019,23/06/2019
2019,June,25,21/06/2019,17/06/2019,23/06/2019
2019,June,25,22/06/2019,17/06/2019,23/06/2019
2019,June,25,23/06/2019,17/06/2019,23/06/2019
2019,June,26,24/06/2019,24/06/2019,30/06/2019
2019,June,26,25/06/2019,24/06/2019,30/06/2019
2019,June,26,26/06/2019,24/06/2019,30/06/2019
2019,June,26,27/06/2019,24/06/2019,30/06/2019
2019,June,26,28/06/2019,24/06/2019,30/06/2019
2019,June,26,29/06/2019,24/06/2019,30/06/2019
2019,June,26,30/06/2019,24/06/2019,30/06/2019
2019,July,27,1/07/2019,1/07/2019,7/07/2019
2019,July,27,2/07/2019,1/07/2019,7/07/2019
2019,July,27,3/07/2019,1/07/2019,7/07/2019
2019,July,27,4/07/2019,1/07/2019,7/07/2019
2019,July,27,5/07/2019,1/07/2019,7/07/2019
2019,July,27,6/07/2019,1/07/2019,7/07/2019
2019,July,27,7/07/2019,1/07/2019,7/07/2019
2019,July,28,8/07/2019,8/07/2019,14/07/2019
2019,July,28,9/07/2019,8/07/2019,14/07/2019
2019,July,28,10/07/2019,8/07/2019,14/07/2019
2019,July,28,11/07/2019,8/07/2019,14/07/2019
2019,July,28,12/07/2019,8/07/2019,14/07/2019
2019,July,28,13/07/2019,8/07/2019,14/07/2019
2019,July,28,14/07/2019,8/07/2019,14/07/2019
2019,July,29,15/07/2019,15/07/2019,21/07/2019
2019,July,29,16/07/2019,15/07/2019,21/07/2019
2019,July,29,17/07/2019,15/07/2019,21/07/2019
2019,July,29,18/07/2019,15/07/2019,21/07/2019
2019,July,29,19/07/2019,15/07/2019,21/07/2019
2019,July,29,20/07/2019,15/07/2019,21/07/2019
2019,July,29,21/07/2019,15/07/2019,21/07/2019
2019,July,30,22/07/2019,22/07/2019,28/07/2019
2019,July,30,23/07/2019,22/07/2019,28/07/2019
2019,July,30,24/07/2019,22/07/2019,28/07/2019
2019,July,30,25/07/2019,22/07/2019,28/07/2019
2019,July,30,26/07/2019,22/07/2019,28/07/2019
2019,July,30,27/07/2019,22/07/2019,28/07/2019
2019,July,30,28/07/2019,22/07/2019,28/07/2019
2019,July,31,29/07/2019,29/07/2019,4/08/2019
2019,July,31,30/07/2019,29/07/2019,4/08/2019
2019,July,31,31/07/2019,29/07/2019,4/08/2019
2019,July,31,1/08/2019,29/07/2019,4/08/2019
2019,July,31,2/08/2019,29/07/2019,4/08/2019
2019,July,31,3/08/2019,29/07/2019,4/08/2019
2019,July,31,4/08/2019,29/07/2019,4/08/2019
2019,August,32,5/08/2019,5/08/2019,11/08/2019
2019,August,32,6/08/2019,5/08/2019,11/08/2019
2019,August,32,7/08/2019,5/08/2019,11/08/2019
2019,August,32,8/08/2019,5/08/2019,11/08/2019
2019,August,32,9/08/2019,5/08/2019,11/08/2019
2019,August,32,10/08/2019,5/08/2019,11/08/2019
2019,August,32,11/08/2019,5/08/2019,11/08/2019
2019,August,33,12/08/2019,12/08/2019,18/08/2019
2019,August,33,13/08/2019,12/08/2019,18/08/2019
2019,August,33,14/08/2019,12/08/2019,18/08/2019
2019,August,33,15/08/2019,12/08/2019,18/08/2019
2019,August,33,16/08/2019,12/08/2019,18/08/2019
2019,August,33,17/08/2019,12/08/2019,18/08/2019
2019,August,33,18/08/2019,12/08/2019,18/08/2019
2019,August,34,19/08/2019,19/08/2019,25/08/2019
2019,August,34,20/08/2019,19/08/2019,25/08/2019
2019,August,34,21/08/2019,19/08/2019,25/08/2019
2019,August,34,22/08/2019,19/08/2019,25/08/2019
2019,August,34,23/08/2019,19/08/2019,25/08/2019
2019,August,34,24/08/2019,19/08/2019,25/08/2019
2019,August,34,25/08/2019,19/08/2019,25/08/2019
2019,August,35,26/08/2019,26/08/2019,1/09/2019
2019,August,35,27/08/2019,26/08/2019,1/09/2019
2019,August,35,28/08/2019,26/08/2019,1/09/2019
2019,August,35,29/08/2019,26/08/2019,1/09/2019
2019,August,35,30/08/2019,26/08/2019,1/09/2019
2019,August,35,31/08/2019,26/08/2019,1/09/2019
2019,August,35,1/09/2019,26/08/2019,1/09/2019
2019,August,36,2/09/2019,2/09/2019,8/09/2019
2019,August,36,3/09/2019,2/09/2019,8/09/2019
2019,August,36,4/09/2019,2/09/2019,8/09/2019
2019,August,36,5/09/2019,2/09/2019,8/09/2019
2019,August,36,6/09/2019,2/09/2019,8/09/2019
2019,August,36,7/09/2019,2/09/2019,8/09/2019
2019,August,36,8/09/2019,2/09/2019,8/09/2019
2019,September,37,9/09/2019,9/09/2019,15/09/2019
2019,September,37,10/09/2019,9/09/2019,15/09/2019
2019,September,37,11/09/2019,9/09/2019,15/09/2019
2019,September,37,12/09/2019,9/09/2019,15/09/2019
2019,September,37,13/09/2019,9/09/2019,15/09/2019
2019,September,37,14/09/2019,9/09/2019,15/09/2019
2019,September,37,15/09/2019,9/09/2019,15/09/2019
2019,September,38,16/09/2019,16/09/2019,22/09/2019
2019,September,38,17/09/2019,16/09/2019,22/09/2019
2019,September,38,18/09/2019,16/09/2019,22/09/2019
2019,September,38,19/09/2019,16/09/2019,22/09/2019
2019,September,38,20/09/2019,16/09/2019,22/09/2019
2019,September,38,21/09/2019,16/09/2019,22/09/2019
2019,September,38,22/09/2019,16/09/2019,22/09/2019
2019,September,39,23/09/2019,23/09/2019,29/09/2019
2019,September,39,24/09/2019,23/09/2019,29/09/2019
2019,September,39,25/09/2019,23/09/2019,29/09/2019
2019,September,39,26/09/2019,23/09/2019,29/09/2019
2019,September,39,27/09/2019,23/09/2019,29/09/2019
2019,September,39,28/09/2019,23/09/2019,29/09/2019
2019,September,39,29/09/2019,23/09/2019,29/09/2019
2019,September,40,30/09/2019,30/09/2019,6/10/2019
2019,September,40,1/10/2019,30/09/2019,6/10/2019
2019,September,40,2/10/2019,30/09/2019,6/10/2019
2019,September,40,3/10/2019,30/09/2019,6/10/2019
2019,September,40,4/10/2019,30/09/2019,6/10/2019
2019,September,40,5/10/2019,30/09/2019,6/10/2019
2019,September,40,6/10/2019,30/09/2019,6/10/2019
2019,October,41,7/10/2019,7/10/2019,13/10/2019
2019,October,41,8/10/2019,7/10/2019,13/10/2019
2019,October,41,9/10/2019,7/10/2019,13/10/2019
2019,October,41,10/10/2019,7/10/2019,13/10/2019
2019,October,41,11/10/2019,7/10/2019,13/10/2019
2019,October,41,12/10/2019,7/10/2019,13/10/2019
2019,October,41,13/10/2019,7/10/2019,13/10/2019
2019,October,42,14/10/2019,14/10/2019,20/10/2019
2019,October,42,15/10/2019,14/10/2019,20/10/2019
2019,October,42,16/10/2019,14/10/2019,20/10/2019
2019,October,42,17/10/2019,14/10/2019,20/10/2019
2019,October,42,18/10/2019,14/10/2019,20/10/2019
2019,October,42,19/10/2019,14/10/2019,20/10/2019
2019,October,42,20/10/2019,14/10/2019,20/10/2019
2019,October,43,21/10/2019,21/10/2019,27/10/2019
2019,October,43,22/10/2019,21/10/2019,27/10/2019
2019,October,43,23/10/2019,21/10/2019,27/10/2019
2019,October,43,24/10/2019,21/10/2019,27/10/2019
2019,October,43,25/10/2019,21/10/2019,27/10/2019
2019,October,43,26/10/2019,21/10/2019,27/10/2019
2019,October,43,27/10/2019,21/10/2019,27/10/2019
2019,October,44,28/10/2019,28/10/2019,3/11/2019
2019,October,44,29/10/2019,28/10/2019,3/11/2019
2019,October,44,30/10/2019,28/10/2019,3/11/2019
2019,October,44,31/10/2019,28/10/2019,3/11/2019
2019,October,44,1/11/2019,28/10/2019,3/11/2019
2019,October,44,2/11/2019,28/10/2019,3/11/2019
2019,October,44,3/11/2019,28/10/2019,3/11/2019
